DESCRIPTION,Candida_tanzawaensis,Debaryomyces_hansenii,Hyphopichia_burtonii,Komagataella_pastoris,Eremothecium_gossypii,Kluyveromyces_lactis,Torulaspora_delbrueckii,Zygosaccharomyces_rouxii,Arxula_adeninivorans,Yarrowia_lipolytica
fam493,1,1,1,1,1,1,1,1,1,2
fam494,1,1,1,1,1,1,1,2,1,1
fam495,1,1,1,1,1,1,1,1,1,1
fam496,1,1,1,1,1,1,1,1,2,2
fam497,1,1,1,1,1,1,1,1,2,2
fam498,3,2,1,1,0,1,1,1,2,5
fam499,1,1,1,1,1,1,1,1,2,1
fam500,2,2,2,2,1,1,1,1,1,1
fam501,1,2,2,1,0,1,1,1,1,1
fam502,1,1,1,1,1,1,1,1,2,2
fam503,1,1,1,1,1,1,1,1,1,1
fam504,2,2,2,1,1,1,1,1,1,1
fam505,3,3,3,1,0,1,1,1,2,1
fam506,1,1,1,1,1,1,1,1,2,1
fam507,1,1,1,1,1,1,1,1,1,1
fam508,1,1,1,1,1,1,1,1,1,1
fam509,1,1,1,0,0,0,2,3,1,0
fam510,1,1,1,1,1,1,1,1,1,1
fam511,1,1,1,1,1,1,1,1,1,1
fam512,1,1,2,1,1,1,1,1,1,1
fam513,1,1,1,1,1,1,1,1,1,1
fam514,1,1,2,1,1,1,1,1,1,4
fam515,1,0,1,2,1,1,1,1,1,1
fam516,1,1,1,1,1,1,2,2,1,1
fam517,1,1,1,1,1,1,1,1,1,1
fam518,1,1,1,1,1,1,1,1,1,1
fam519,1,1,1,1,1,1,1,1,1,1
fam520,1,1,1,1,1,1,1,1,2,2
fam521,2,2,2,1,0,1,2,2,3,0
fam522,1,1,1,1,1,1,1,1,4,1
fam523,1,1,1,1,1,1,1,1,1,1
fam524,1,1,1,1,1,1,1,1,2,2
fam525,2,2,3,1,0,0,0,0,1,6
fam526,1,1,1,1,1,1,1,1,1,1
fam527,1,1,1,1,1,1,1,1,1,2
fam528,1,1,2,1,1,1,1,1,1,2
fam529,1,1,1,1,1,1,1,1,1,1
fam530,3,4,5,1,0,0,0,0,1,0
fam531,1,1,4,0,0,0,0,0,0,1
fam532,1,1,1,1,1,1,1,1,1,1
fam533,1,1,1,1,1,1,1,1,1,1
fam534,2,2,2,0,2,2,2,2,0,0
fam535,2,2,2,1,1,1,1,1,1,1
fam536,1,1,1,0,1,1,1,1,1,1
fam537,1,1,1,1,1,1,1,1,1,2
fam538,1,1,1,1,1,1,1,1,1,1
fam539,1,1,1,1,1,1,1,1,1,1
fam540,1,1,1,1,1,1,1,1,1,1
fam541,1,1,1,1,1,1,1,1,1,1
fam542,1,0,2,0,1,0,1,1,2,2
fam543,1,1,1,1,0,1,1,0,1,1
fam544,2,2,2,1,1,1,1,1,1,1
fam545,1,1,1,1,0,1,1,1,1,0
fam546,1,1,1,1,1,1,1,1,2,2
fam547,1,1,1,1,1,1,1,1,1,1
fam548,1,1,1,1,2,2,2,2,1,1
fam549,1,1,1,2,1,1,1,1,3,1
fam550,1,1,1,1,1,1,1,1,1,2
fam551,1,1,1,1,1,1,1,1,1,1
fam552,1,1,1,1,1,1,1,1,1,1
fam553,1,1,1,1,1,1,1,1,1,1
fam554,1,1,1,2,1,1,1,1,1,1
fam555,1,1,1,1,1,1,1,1,1,1
fam556,1,1,1,1,1,1,1,1,2,1
fam557,2,2,1,1,1,1,1,1,0,1
fam558,3,2,3,0,1,0,1,1,1,1
fam560,3,1,1,2,0,1,0,1,1,1
fam561,1,1,1,1,1,1,1,1,1,1
fam562,1,1,1,1,1,1,1,1,1,1
fam563,1,1,1,1,1,1,1,1,2,2
fam564,1,1,1,1,1,1,1,1,1,1
fam565,0,1,0,4,0,0,0,0,0,0
fam566,1,1,1,1,1,1,1,1,1,1
fam567,1,1,1,1,1,1,1,1,1,1
fam568,1,1,1,1,1,1,1,1,2,1
fam569,1,1,1,1,1,1,1,1,2,2
fam570,1,1,1,1,1,1,1,1,1,1
fam571,1,1,1,1,1,1,1,1,1,3
fam572,1,1,1,1,1,1,1,1,1,1
fam573,1,2,2,1,1,1,1,1,1,1
fam574,1,1,1,1,1,1,1,1,2,2
